bodyid,bodyname
1,access cab
2,Access Cab
3,beetle convertible
4,Beetle Convertible
5,Cab Plus
6,cab plus 4
7,Cab Plus 4
8,club cab
9,Club Cab
10,convertible
11,Convertible
12,coupe
13,Coupe
14,crew cab
15,Crew Cab
16,crewmax cab
17,CrewMax Cab
18,cts coupe
19,CTS Coupe
20,cts wagon
21,CTS Wagon
22,cts-v coupe
23,CTS-V Coupe
24,CTS-V Wagon
25,double cab
26,Double Cab
27,elantra coupe
28,Elantra Coupe
29,e-series van
30,E-Series Van
31,extended cab
32,Extended Cab
33,g convertible
34,G Convertible
35,g coupe
36,G Coupe
37,g sedan
38,G Sedan
39,g37 convertible
40,G37 Convertible
41,G37 Coupe
42,genesis coupe
43,Genesis Coupe
44,granturismo convertible
45,GranTurismo Convertible
46,hatchback
47,Hatchback
48,king cab
49,King Cab
50,koup
51,Koup
52,mega cab
53,Mega Cab
54,minivan
55,Minivan
56,promaster cargo van
57,Promaster Cargo Van
58,q60 convertible
59,Q60 Convertible
60,q60 coupe
61,Q60 Coupe
62,quad cab
63,Quad Cab
64,regular cab
65,Regular Cab
66,regular-cab
67,sedan
68,Sedan
69,supercab
70,SuperCab
71,supercrew
72,SuperCrew
73,suv
74,SUV
75,transit van
76,Transit Van
77,tsx sport wagon
78,TSX Sport Wagon
79,van
80,Van
81,wagon
82,Wagon
83,xtracab
84,Xtracab
