saledate,day,month,year,weekofyear
2014-01-01,1,1,2014,1
2014-01-02,2,1,2014,1
2014-01-05,5,1,2014,2
2014-01-06,6,1,2014,2
2014-01-07,7,1,2014,2
2014-01-08,8,1,2014,2
2014-01-12,12,1,2014,3
2014-01-13,13,1,2014,3
2014-01-14,14,1,2014,3
2014-01-15,15,1,2014,3
2014-02-14,14,2,2014,7
2014-12-16,16,12,2014,51
2014-12-17,17,12,2014,51
2014-12-18,18,12,2014,51
2014-12-19,19,12,2014,51
2014-12-22,22,12,2014,52
2014-12-23,23,12,2014,52
2014-12-24,24,12,2014,52
2014-12-26,26,12,2014,52
2014-12-29,29,12,2014,53
2014-12-30,30,12,2014,53
2014-12-31,31,12,2014,53
2015-01-01,1,1,2015,1
2015-01-02,2,1,2015,1
2015-01-04,4,1,2015,2
2015-01-05,5,1,2015,2
2015-01-06,6,1,2015,2
2015-01-07,7,1,2015,2
2015-01-08,8,1,2015,2
2015-01-09,9,1,2015,2
2015-01-12,12,1,2015,3
2015-01-13,13,1,2015,3
2015-01-14,14,1,2015,3
2015-01-15,15,1,2015,3
2015-01-16,16,1,2015,3
2015-01-19,19,1,2015,4
2015-01-20,20,1,2015,4
2015-01-21,21,1,2015,4
2015-01-22,22,1,2015,4
2015-01-23,23,1,2015,4
2015-01-26,26,1,2015,5
2015-01-27,27,1,2015,5
2015-01-28,28,1,2015,5
2015-01-29,29,1,2015,5
2015-01-30,30,1,2015,5
2015-02-01,1,2,2015,6
2015-02-02,2,2,2015,6
2015-02-03,3,2,2015,6
2015-02-04,4,2,2015,6
2015-02-05,5,2,2015,6
2015-02-06,6,2,2015,6
2015-02-07,7,2,2015,6
2015-02-09,9,2,2015,7
2015-02-10,10,2,2015,7
2015-02-11,11,2,2015,7
2015-02-12,12,2,2015,7
2015-02-13,13,2,2015,7
2015-02-15,15,2,2015,8
2015-02-16,16,2,2015,8
2015-02-17,17,2,2015,8
2015-02-18,18,2,2015,8
2015-02-19,19,2,2015,8
2015-02-20,20,2,2015,8
2015-02-23,23,2,2015,9
2015-02-24,24,2,2015,9
2015-02-25,25,2,2015,9
2015-02-26,26,2,2015,9
2015-02-27,27,2,2015,9
2015-03-02,2,3,2015,10
2015-03-03,3,3,2015,10
2015-03-04,4,3,2015,10
2015-03-05,5,3,2015,10
2015-03-06,6,3,2015,10
2015-03-08,8,3,2015,11
2015-03-09,9,3,2015,11
2015-03-10,10,3,2015,11
2015-03-11,11,3,2015,11
2015-03-12,12,3,2015,11
2015-03-13,13,3,2015,11
2015-03-16,16,3,2015,12
2015-03-17,17,3,2015,12
2015-03-18,18,3,2015,12
2015-03-19,19,3,2015,12
2015-03-20,20,3,2015,12
2015-03-23,23,3,2015,13
2015-03-24,24,3,2015,13
2015-03-25,25,3,2015,13
2015-03-26,26,3,2015,13
2015-03-27,27,3,2015,13
2015-03-30,30,3,2015,14
2015-03-31,31,3,2015,14
2015-04-01,1,4,2015,14
2015-04-02,2,4,2015,14
2015-04-03,3,4,2015,14
2015-04-06,6,4,2015,15
2015-04-07,7,4,2015,15
2015-04-08,8,4,2015,15
2015-04-09,9,4,2015,15
2015-04-10,10,4,2015,15
2015-04-13,13,4,2015,16
2015-04-14,14,4,2015,16
2015-04-15,15,4,2015,16
2015-04-16,16,4,2015,16
2015-04-17,17,4,2015,16
2015-04-20,20,4,2015,17
2015-04-21,21,4,2015,17
2015-04-22,22,4,2015,17
2015-04-23,23,4,2015,17
2015-04-24,24,4,2015,17
2015-04-27,27,4,2015,18
2015-04-28,28,4,2015,18
2015-04-29,29,4,2015,18
2015-04-30,30,4,2015,18
2015-05-01,1,5,2015,18
2015-05-04,4,5,2015,19
2015-05-05,5,5,2015,19
2015-05-06,6,5,2015,19
2015-05-07,7,5,2015,19
2015-05-08,8,5,2015,19
2015-05-11,11,5,2015,20
2015-05-12,12,5,2015,20
2015-05-13,13,5,2015,20
2015-05-14,14,5,2015,20
2015-05-15,15,5,2015,20
2015-05-18,18,5,2015,21
2015-05-19,19,5,2015,21
2015-05-20,20,5,2015,21
2015-05-21,21,5,2015,21
2015-05-22,22,5,2015,21
2015-05-24,24,5,2015,22
2015-05-25,25,5,2015,22
2015-05-26,26,5,2015,22
2015-05-27,27,5,2015,22
2015-05-28,28,5,2015,22
2015-05-29,29,5,2015,22
2015-05-31,31,5,2015,23
2015-06-01,1,6,2015,23
2015-06-02,2,6,2015,23
2015-06-03,3,6,2015,23
2015-06-04,4,6,2015,23
2015-06-05,5,6,2015,23
2015-06-07,7,6,2015,24
2015-06-08,8,6,2015,24
2015-06-09,9,6,2015,24
2015-06-10,10,6,2015,24
2015-06-11,11,6,2015,24
2015-06-12,12,6,2015,24
2015-06-15,15,6,2015,25
2015-06-16,16,6,2015,25
2015-06-17,17,6,2015,25
2015-06-18,18,6,2015,25
2015-06-19,19,6,2015,25
2015-06-22,22,6,2015,26
2015-06-23,23,6,2015,26
2015-06-24,24,6,2015,26
2015-06-25,25,6,2015,26
2015-06-26,26,6,2015,26
2015-06-29,29,6,2015,27
2015-06-30,30,6,2015,27
2015-07-01,1,7,2015,27
2015-07-02,2,7,2015,27
2015-07-03,3,7,2015,27
2015-07-06,6,7,2015,28
2015-07-07,7,7,2015,28
2015-07-08,8,7,2015,28
2015-07-09,9,7,2015,28
2015-07-10,10,7,2015,28
2015-07-14,14,7,2015,29
